station,year,month,day,date,PM2.5,PM10,SO2,NO2,CO,O3,AQI_value,AQI_label,highest_pollutant
Aotizhongxin,2013,3,1,2013-03-01,7.0,11.0,12.0,23.0,429.0,64.0,32,Good,O3
Aotizhongxin,2013,3,2,2013-03-02,31.0,42.0,37.0,67.0,825.0,30.0,84,Moderate,NO2
Aotizhongxin,2013,3,3,2013-03-03,77.0,121.0,61.0,81.0,1621.0,19.0,102,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,4,2013-03-04,23.0,45.0,23.0,46.0,606.0,54.0,57,Moderate,NO2
Aotizhongxin,2013,3,5,2013-03-05,149.0,184.0,94.0,133.0,2358.0,68.0,199,Unhealthy,PM2.5
Aotizhongxin,2013,3,6,2013-03-06,223.0,265.0,116.0,142.0,3085.0,20.0,273,Very Unhealthy,PM2.5
Aotizhongxin,2013,3,7,2013-03-07,263.0,316.0,98.0,148.0,3633.0,39.0,311,Hazardous,PM2.5
Aotizhongxin,2013,3,8,2013-03-08,221.0,298.0,69.0,120.0,2689.0,79.0,271,Very Unhealthy,PM2.5
Aotizhongxin,2013,3,9,2013-03-09,62.0,228.0,33.0,45.0,1179.0,74.0,139,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,3,10,2013-03-10,34.0,69.0,23.0,50.0,708.0,83.0,62,Moderate,NO2
Aotizhongxin,2013,3,11,2013-03-11,124.0,178.0,87.0,91.0,1671.0,75.0,163,Unhealthy,PM2.5
Aotizhongxin,2013,3,12,2013-03-12,123.0,117.0,28.0,73.0,1635.0,37.0,161,Unhealthy,PM2.5
Aotizhongxin,2013,3,13,2013-03-13,16.0,19.0,16.0,36.0,504.0,72.0,45,Good,NO2
Aotizhongxin,2013,3,14,2013-03-14,95.0,107.0,52.0,70.0,1337.0,69.0,125,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,15,2013-03-15,212.0,251.0,76.0,99.0,2116.0,44.0,262,Very Unhealthy,PM2.5
Aotizhongxin,2013,3,16,2013-03-16,245.0,258.0,70.0,90.0,2175.0,67.0,295,Very Unhealthy,PM2.5
Aotizhongxin,2013,3,17,2013-03-17,285.0,310.0,74.0,114.0,2558.0,97.0,328,Hazardous,PM2.5
Aotizhongxin,2013,3,18,2013-03-18,71.0,118.0,20.0,46.0,867.0,89.0,95,Moderate,PM2.5
Aotizhongxin,2013,3,19,2013-03-19,41.0,49.0,16.0,49.0,785.0,20.0,61,Moderate,NO2
Aotizhongxin,2013,3,20,2013-03-20,49.0,48.0,12.0,42.0,921.0,32.0,67,Moderate,PM2.5
Aotizhongxin,2013,3,21,2013-03-21,149.0,162.0,22.0,86.0,1454.0,12.0,199,Unhealthy,PM2.5
Aotizhongxin,2013,3,22,2013-03-22,90.0,145.0,26.0,70.0,979.0,34.0,119,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,23,2013-03-23,53.0,89.0,30.0,58.0,1312.0,28.0,72,Moderate,PM2.5
Aotizhongxin,2013,3,24,2013-03-24,19.0,38.0,12.0,36.0,1300.0,54.0,45,Good,NO2
Aotizhongxin,2013,3,25,2013-03-25,102.0,143.0,52.0,87.0,1267.0,28.0,134,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,26,2013-03-26,187.0,251.0,75.0,106.0,1741.0,12.0,237,Very Unhealthy,PM2.5
Aotizhongxin,2013,3,27,2013-03-27,92.0,123.0,24.0,43.0,850.0,42.0,121,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,28,2013-03-28,28.0,55.0,13.0,40.0,596.0,58.0,53,Moderate,PM10
Aotizhongxin,2013,3,29,2013-03-29,88.0,140.0,47.0,88.0,1608.0,17.0,116,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,30,2013-03-30,80.0,111.0,62.0,68.0,1666.0,34.0,106,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,3,31,2013-03-31,174.0,194.0,15.0,73.0,1333.0,3.0,224,Very Unhealthy,PM2.5
Aotizhongxin,2013,4,1,2013-04-01,95.0,113.0,17.0,39.0,1208.0,51.0,125,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,4,2,2013-04-02,100.0,141.0,40.0,69.0,1317.0,53.0,131,Unhealthy for Sensitive Groups,PM2.5
